"Date","n","函館市内","北海道内","北海道外","YMD"
"2022年4月10日",1,"81","1","0",2022-04-10
"2022年4月9日",1,"86","0","2",2022-04-09
"2022年4月8日",2,"76","1","0",2022-04-08
"2022年4月7日",3,"90","0","0",2022-04-07
"2022年4月6日",4,"98","2","1",2022-04-06
"2022年4月5日",5,"81","2","2",2022-04-05
"2022年4月4日",6,"62","0","1",2022-04-04
"2022年4月3日",7,"45","1","0",2022-04-03
"2022年4月2日",8,"52","0","0",2022-04-02
"2022年4月1日",9,"58","1","0",2022-04-01
"2022年3月31日",1,"65","1","1",2022-03-31
"2022年3月30日",2,"87","2","1",2022-03-30
"2022年3月29日",3,"71","0","2",2022-03-29
"2022年3月28日",4,"32","0","0",2022-03-28
"2022年3月27日",5,"48","1","0",2022-03-27
"2022年3月26日",6,"60","0","1",2022-03-26
"2022年3月25日",7,"71","1","0",2022-03-25
"2022年3月24日",8,"87","0","2",2022-03-24
"2022年3月23日",9,"78","2","0",2022-03-23
"2022年3月22日",10,"19","0","2",2022-03-22
"2022年3月21日",11,"43","2","1",2022-03-21
"2022年3月20日",12,"54","0","1",2022-03-20
"2022年3月19日",13,"65","0","0",2022-03-19
"2022年3月18日",14,"65","0","2",2022-03-18
"2022年3月17日",15,"66","0","0",2022-03-17
"2022年3月16日",16,"81","2","0",2022-03-16
"2022年3月15日",17,"101","1","0",2022-03-15
"2022年3月14日",18,"61","0","0",2022-03-14
"2022年3月13日",19,"86","1","1",2022-03-13
"2022年3月12日",20,"77","1","0",2022-03-12
"2022年3月11日",21,"63","0","0",2022-03-11
"2022年3月10日",22,"75","1","0",2022-03-10
"2022年3月9日",23,"85","0","0",2022-03-09
"2022年3月8日",24,"74","2","0",2022-03-08
"2022年3月7日",25,"44","0","0",2022-03-07
"2022年3月6日",26,"66","0","0",2022-03-06
"2022年3月5日",27,"92","1","0",2022-03-05
"2022年3月4日",28,"62","1","1",2022-03-04
"2022年3月3日",29,"61","0","0",2022-03-03
"2022年3月2日",30,"109","0","0",2022-03-02
"2022年3月1日",31,"87","0","0",2022-03-01
"2022年2月28日",1,"50","1","0",2022-02-28
"2022年2月27日",2,"62","0","0",2022-02-27
"2022年2月26日",3,"110","0","1",2022-02-26
"2022年2月25日",4,"97","0","0",2022-02-25
"2022年2月24日",5,"67","0","0",2022-02-24
"2022年2月23日",6,"124","0","1",2022-02-23
"2022年2月22日",7,"112","0","0",2022-02-22
"2022年2月21日",8,"36","0","0",2022-02-21
"2022年2月20日",9,"101","2","1",2022-02-20
"2022年2月18日",11,"163","0","0",2022-02-18
"2022年2月17日",12,"161","0","0",2022-02-17
"2022年2月16日",13,"190","4","1",2022-02-16
"2022年2月15日",14,"182","0","1",2022-02-15
"2022年2月14日",15,"87","0","0",2022-02-14
"2022年2月13日",16,"164","1","0",2022-02-13
"2022年2月12日",17,"141","0","0",2022-02-12
"2022年2月11日",18,"145","1","1",2022-02-11
"2022年2月10日",19,"169","0","1",2022-02-10
"2022年2月9日",20,"227","1","0",2022-02-09
"2022年2月8日",21,"187","0","0",2022-02-08
"2022年2月7日",22,"111","0","0",2022-02-07
"2022年2月6日",23,"160","0","1",2022-02-06
"2022年2月5日",24,"201","0","1",2022-02-05
"2022年2月4日",25,"200","0","0",2022-02-04
"2022年2月3日",26,"215","0","0",2022-02-03
"2022年2月2日",27,"201","0","0",2022-02-02
"2022年2月1日",28,"170","0","1",2022-02-01
"2022年1月31日",1,"77","0","0",2022-01-31
"2022年1月30日",2,"108","0","0",2022-01-30
"2022年1月29日",3,"172","2","0",2022-01-29
"2022年1月28日",4,"159","0","0",2022-01-28
"2022年1月27日",5,"214","0","0",2022-01-27
"2022年1月26日",6,"143","0","0",2022-01-26
"2022年1月25日",7,"98","0","0",2022-01-25
"2022年1月24日",8,"38","0","0",2022-01-24
"2022年1月23日",9,"","","",2022-01-23
"2022年1月22日",10,"","","",2022-01-22
"2022年1月21日",11,"","","",2022-01-21
"2022年1月20日",12,"","","",2022-01-20
"2022年1月19日",13,"","","",2022-01-19
"2022年1月18日",14,"","","",2022-01-18
"2022年1月17日",15,"","","",2022-01-17
"2022年1月16日",16,"","","",2022-01-16
"2022年1月15日",17,"","","",2022-01-15
"2022年1月14日",18,"","","",2022-01-14
"2022年1月13日",19,"","","",2022-01-13
"2022年1月12日",20,"","","",2022-01-12
"2022年1月11日",21,"","","",2022-01-11
"2022年1月8日",22,"","","",2022-01-08
"2022年1月6日",23,"","","",2022-01-06
